OUI	Manufacturer	Registry	Short_Name	Registered_Date	Sources
9C:93:E4	Private	MA-L	Private	2014-03-07	IEEE+Wireshark+Nmap
78:2B:CB	Dell Inc.	MA-L	Dell	2010-09-23	IEEE+Wireshark+Nmap
14:FE:B5	Dell Inc.	MA-L	Dell	2010-12-11	IEEE+Wireshark+Nmap
18:03:73	Dell Inc.	MA-L	Dell	2011-01-11	IEEE+Wireshark+Nmap
74:86:7A	Dell Inc.	MA-L	Dell	2013-01-06	IEEE+Wireshark+Nmap
20:47:47	Dell Inc.	MA-L	Dell	2015-01-21	IEEE+Wireshark+Nmap
00:0B:DB	Dell Inc.	MA-L	Dell	2002-12-03	IEEE+Wireshark+Nmap
00:12:3F	Dell Inc.	MA-L	Dell	2004-09-02	IEEE+Wireshark+Nmap
A4:1F:72	Dell Inc.	MA-L	Dell	2012-08-18	IEEE+Wireshark+Nmap
00:1C:23	Dell Inc.	MA-L	Dell	2007-04-08	IEEE+Wireshark+Nmap
84:7B:EB	Dell Inc.	MA-L	Dell	2016-01-08	IEEE+Wireshark+Nmap
98:90:96	Dell Inc.	MA-L	Dell	2014-07-01	IEEE+Wireshark+Nmap
80:18:44	Dell Inc.	MA-L	Dell	2016-06-01	IEEE+Wireshark+Nmap
98:40:BB	Dell Inc.	MA-L	Dell	2016-07-06	IEEE+Wireshark+Nmap
D4:81:D7	Dell Inc.	MA-L	Dell	2016-11-01	IEEE+Wireshark+Nmap
F8:0D:A9	Zyxel Communications Corporation	MA-L	ZyxelCommuni	2023-01-14	IEEE+Wireshark+Nmap
54:BF:64	Dell Inc.	MA-L	Dell	2018-02-14	IEEE+Wireshark+Nmap
CC:C5:E5	Dell Inc.	MA-L	Dell	2018-05-26	IEEE+Wireshark+Nmap
4C:D9:8F	Dell Inc.	MA-L	Dell	2018-06-20	IEEE+Wireshark+Nmap
DC:F4:01	Dell Inc.	MA-L	Dell	2018-07-17	IEEE+Wireshark+Nmap
6C:2B:59	Dell Inc.	MA-L	Dell	2018-08-12	IEEE+Wireshark+Nmap
C8:F7:50	Dell Inc.	MA-L	Dell	2018-10-18	IEEE+Wireshark+Nmap
98:E7:43	Dell Inc.	MA-L	Dell	2019-07-01	IEEE+Wireshark+Nmap
18:5A:58	Dell Inc.	MA-L	Dell	2019-07-31	IEEE+Wireshark+Nmap
D0:8E:79	Dell Inc.	MA-L	Dell	2021-05-08	IEEE+Wireshark+Nmap
B4:45:06	Dell Inc.	MA-L	Dell	2021-09-29	IEEE+Wireshark+Nmap
48:5A:0D	Juniper Networks	MA-L	JuniperNetwo	2023-01-19	IEEE+Wireshark+Nmap
E0:D8:48	Dell Inc.	MA-L	Dell	2017-02-28	IEEE+Wireshark+Nmap
04:BF:1B	Dell Inc.	MA-L	Dell	2022-05-07	IEEE+Wireshark+Nmap
58:10:31	Hon Hai Precision IND.CO.,LTD	MA-L	HonHaiPrecis	2023-01-11	IEEE+Wireshark+Nmap
E0:3C:1C	IEEE Registration Authority	MA-L		2023-01-11	IEEE+Nmap
00:09:93	Visteon Corporation	MA-L	Visteon	2002-03-29	IEEE+Wireshark+Nmap
EC:41:CA	Shenzhen TecAnswer Technology co.,ltd	MA-L	TecAnswerTec	2023-01-11	IEEE+Wireshark+Nmap
14:84:77	New H3C Technologies Co., Ltd	MA-L	NewH3CTechno	2022-12-31	IEEE+Wireshark+Nmap
14:96:2D	New H3C Technologies Co., Ltd	MA-L	NewH3CTechno	2022-12-31	IEEE+Wireshark+Nmap
C4:A6:4E	Quectel Wireless Solutions Co.,Ltd.	MA-L	QuectelWirel	2023-01-04	IEEE+Wireshark+Nmap
70:66:B9	Huawei Device Co., Ltd.	MA-L	HuaweiDevice	2022-12-30	IEEE+Wireshark+Nmap
C4:A1:AE	Huawei Device Co., Ltd.	MA-L	HuaweiDevice	2022-12-30	IEEE+Wireshark+Nmap
48:6F:33	Kyungwoo.System, Inc.	MA-L	KyungwooSyst	2022-12-29	IEEE+Wireshark+Nmap
08:61:95	Rockwell Automation	MA-L	RockwellAuto	2019-06-22	IEEE+Wireshark+Nmap
24:BB:C9	Shenzhen SuperElectron Technology Co.,Ltd.	MA-L	SuperElectro	2023-01-07	IEEE+Wireshark+Nmap
00:00:BC	Rockwell Automation	MA-L	RockwellAuto	1998-04-22	IEEE+Wireshark+Nmap
FC:D7:49	Amazon Technologies Inc.	MA-L	AmazonTechno	2022-12-31	IEEE+Wireshark+Nmap
A8:71:16	Earda Technologies co Ltd	MA-L	EardaTechnol	2022-12-22	IEEE+Wireshark+Nmap
E8:EB:DD	Guangzhou Qingying Acoustics Technology Co., Ltd	MA-L	GuangzhouQin	2022-12-22	IEEE+Wireshark+Nmap
54:8C:81	Hangzhou Hikvision Digital Technology Co.,Ltd.	MA-L	HikvisionDig	2022-12-21	IEEE+Wireshark+Nmap
24:48:45	Hangzhou Hikvision Digital Technology Co.,Ltd.	MA-L	HikvisionDig	2022-11-24	IEEE+Wireshark+Nmap
74:EE:8D	Apollo Intelligent Connectivity (Beijing) Technology Co., Ltd.	MA-L	ApolloIntell	2022-12-18	IEEE+Wireshark+Nmap
D8:58:C6	Katch Asset Tracking Pty Limited	MA-L	KatchAssetTr	2022-12-25	IEEE+Wireshark+Nmap
2C:C6:A0	Lumacron Technology Ltd.	MA-L	LumacronTech	2022-12-25	IEEE+Wireshark+Nmap
EC:C8:9C	Hangzhou Hikvision Digital Technology Co.,Ltd.	MA-L	HikvisionDig	2020-08-13	IEEE+Wireshark+Nmap
8C:E7:48	Hangzhou Hikvision Digital Technology Co.,Ltd.	MA-L	HikvisionDig	2012-01-07	IEEE+Wireshark+Nmap
24:28:FD	Hangzhou Hikvision Digital Technology Co.,Ltd.	MA-L	HikvisionDig	2021-03-30	IEEE+Wireshark+Nmap
AC:B9:2F	Hangzhou Hikvision Digital Technology Co.,Ltd.	MA-L	HikvisionDig	2021-05-23	IEEE+Wireshark+Nmap
D4:E8:53	Hangzhou Hikvision Digital Technology Co.,Ltd.	MA-L	HikvisionDig	2021-06-12	IEEE+Wireshark+Nmap
24:0F:9B	Hangzhou Hikvision Digital Technology Co.,Ltd.	MA-L	HikvisionDig	2021-07-22	IEEE+Wireshark+Nmap
C0:6D:ED	Hangzhou Hikvision Digital Technology Co.,Ltd.	MA-L	HikvisionDig	2022-01-19	IEEE+Wireshark+Nmap
24:32:AE	Hangzhou Hikvision Digital Technology Co.,Ltd.	MA-L	HikvisionDig	2022-04-05	IEEE+Wireshark+Nmap
